DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,GrupoEtarioDelSolicitante,NumeroDeSolicitantes
Meta,Mapiripán,50325,Mayor Mayor Entre 80-89 Años,114
Nariño,Roberto Payán,52621,Nonagenario,1
Córdoba,Planeta Rica,23555,Mayor Adulto Entre 70-79 Años,9
Antioquia,Valparaíso,05856,Adulto,3
Chocó,Cértegui,27160,Nonagenario,2
Caldas,Manizales,17001,Adulto,35
Tolima,Chaparral,73168,Infancia,1
Amazonas,Puerto Alegría,91530,Adulto,3
Caldas,Manzanares,17433,Adulto,10
Santander,El Carmen De Chucurí,68235,Adulto,101
Tolima,Palocabildo,73520,Mayor Adulto Entre 70-79 Años,8
Antioquia,Angostura,05038,Mayor Joven Entre 60-69 Años,14
Sucre,Buenavista,70110,Nonagenario,2
Tolima,Prado,73563,Mayor Joven Entre 60-69 Años,31
Santander,Santa Bárbara,68705,NoReporta,1
Cundinamarca,Sibaté,25740,Mayor Joven Entre 60-69 Años,3
Tolima,Fresno,73283,Centenario,1
Cundinamarca,Jerusalén,25368,Mayor Adulto Entre 70-79 Años,3
Boyacá,Cubará,15223,Adulto,5
Valle Del Cauca,Calima,76126,Mayor Joven Entre 60-69 Años,22
Caquetá,Puerto Rico,18592,Adulto,263
Huila,Palermo,41524,Mayor Adulto Entre 70-79 Años,7
Bogotá D.C.,Bogotá,11001,Mayor Joven Entre 60-69 Años,109
Nariño,Potosí,52560,Mayor Mayor Entre 80-89 Años,2
Cauca,Santa Rosa,19701,Mayor Joven Entre 60-69 Años,117
Antioquia,Santa Bárbara,05679,Adulto,8
Bolívar,Arenal,13042,Centenario,1
Risaralda,Mistrató,66456,Nonagenario,3
Antioquia,Frontino,05284,Adulto Joven,3
Meta,Guamal,50318,Adulto,13
La Guajira,Albania,44035,Mayor Joven Entre 60-69 Años,9
Caquetá,Valparaíso,18860,Mayor Mayor Entre 80-89 Años,18
Antioquia,Sonsón,05756,Mayor Adulto Entre 70-79 Años,69
Santander,Simacota,68745,NoReporta,3
Valle Del Cauca,Zarzal,76895,Mayor Joven Entre 60-69 Años,4
Boyacá,Tota,15822,Adulto,1
Cauca,Buenos Aires,19110,Adulto,87
Antioquia,San Jerónimo,05656,Mayor Joven Entre 60-69 Años,5
Magdalena,Zapayán,47960,Nonagenario,1
Norte Santander,Los Patios,54405,Mayor Joven Entre 60-69 Años,9
Sucre,Galeras,70235,Nonagenario,5
Atlántico,Tubará,08832,Mayor Mayor Entre 80-89 Años,6
Antioquia,Necoclí,05490,Centenario,2
Antioquia,Peque,05543,Nonagenario,1
Quindío,La Tebaida,63401,Adulto,6
Magdalena,Plato,47555,Adulto,74
Nariño,Ricaurte,52612,Centenario,1
Huila,Guadalupe,41319,Adulto Joven,1
Sucre,Sucre,70771,Nonagenario,1
Norte Santander,Sardinata,54720,Nonagenario,8
Risaralda,Pueblo Rico,66572,Mayor Joven Entre 60-69 Años,96
Norte Santander,Pamplona,54518,Mayor Adulto Entre 70-79 Años,2
Cauca,Villa Rica,19845,Adulto Joven,1
Cundinamarca,Guataquí,25324,NoReporta,1
Tolima,Santa Isabel,73686,Mayor Adulto Entre 70-79 Años,9
Tolima,Líbano,73411,Mayor Joven Entre 60-69 Años,117
Tolima,Santa Isabel,73686,Adulto,16
Bolívar,Arjona,13052,Infancia,1
Caldas,Pensilvania,17541,Mayor Joven Entre 60-69 Años,153
Cesar,Bosconia,20060,Mayor Mayor Entre 80-89 Años,11
Cesar,El Paso,20250,Nonagenario,2
Cauca,Suárez,19780,Mayor Adulto Entre 70-79 Años,20
Santander,Piedecuesta,68547,Mayor Joven Entre 60-69 Años,7
Santander,Cepitá,68160,Adulto,1
Norte Santander,Sardinata,54720,Mayor Adulto Entre 70-79 Años,83
Bolívar,Talaigua Nuevo,13780,Mayor Adulto Entre 70-79 Años,2
Antioquia,San Pedro de Urabá,05665,Mayor Adulto Entre 70-79 Años,82
Huila,Timaná,41807,Mayor Adulto Entre 70-79 Años,2
Cundinamarca,Guaduas,25320,Mayor Adulto Entre 70-79 Años,3
Putumayo,Puerto Asís,86568,Infancia,1
Meta,Puerto López,50573,Nonagenario,8
Boyacá,Umbita,15842,Mayor Joven Entre 60-69 Años,2
Caldas,Manizales,17001,Nonagenario,1
Bolívar,Santa Rosa Del Sur,13688,Mayor Joven Entre 60-69 Años,29
Chocó,Istmina,27361,Mayor Adulto Entre 70-79 Años,8
Magdalena,Plato,47555,Mayor Mayor Entre 80-89 Años,30
La Guajira,Villanueva,44874,NoReporta,1
Antioquia,Angelópolis,05036,Mayor Joven Entre 60-69 Años,6
Huila,Neiva,41001,Adulto,89
Nariño,Potosí,52560,Mayor Joven Entre 60-69 Años,2
Antioquia,Vigía Del Fuerte,05873,NoReporta,3
Antioquia,Santo Domingo,05690,Mayor Adulto Entre 70-79 Años,16
Magdalena,Zona Bananera,47980,Infancia,2
Meta,Puerto López,50573,Adulto Joven,2
Atlántico,Ponedera,08560,Mayor Mayor Entre 80-89 Años,1
Caquetá,Morelia,18479,Nonagenario,1
Chocó,Carmen del Darién,27150,Nonagenario,6
Antioquia,Mutatá,05480,Adulto,212
Nariño,El Rosario,52256,Adulto Joven,3
Boyacá,Muzo,15480,Adulto,12
Bolívar,Morales,13473,NoReporta,1
Caquetá,Valparaíso,18860,Mayor Joven Entre 60-69 Años,84
Sucre,Ovejas,70508,NoReporta,9
Bolívar,San Pablo,13670,Mayor Adulto Entre 70-79 Años,26
Nariño,Cumbitara,52233,Mayor Mayor Entre 80-89 Años,10
Huila,Tello,41799,Nonagenario,2
Cauca,Puracé,19585,Mayor Adulto Entre 70-79 Años,13
Valle Del Cauca,Calima,76126,Adulto,33
Cundinamarca,Nimaima,25489,Adulto,2
Valle Del Cauca,Restrepo,76606,Mayor Joven Entre 60-69 Años,3
Nariño,Cumbitara,52233,Mayor Adulto Entre 70-79 Años,22
Antioquia,Frontino,05284,Adolescencia,1
Caldas,Marulanda,17446,Mayor Joven Entre 60-69 Años,6
Magdalena,Ciénaga,47189,Adolescencia,2
Huila,Algeciras,41020,Mayor Joven Entre 60-69 Años,85
Cesar,El Paso,20250,Centenario,4
Bolívar,Simití,13744,Adulto,88
Chocó,Medio Atrato,27425,Mayor Adulto Entre 70-79 Años,3
Bolívar,San Jacinto,13654,Adolescencia,1
Antioquia,San Rafael,05667,NoReporta,6
Cundinamarca,La Mesa,25386,Adulto,2
Chocó,El Carmen De Atrato,27245,Adulto,70
Santander,El Playón,68255,Mayor Mayor Entre 80-89 Años,19
Casanare,Maní,85139,Mayor Joven Entre 60-69 Años,47
Magdalena,Sabanas de San Ángel,47660,Mayor Mayor Entre 80-89 Años,55
Risaralda,Santa Rosa De Cabal,66682,Adulto,1
Norte Santander,Toledo,54820,Nonagenario,3
Valle Del Cauca,Riofrío,76616,Mayor Mayor Entre 80-89 Años,21
Sucre,San Pedro,70717,Adulto Joven,1
Antioquia,Mutatá,05480,Centenario,4
Tolima,Ortega,73504,Mayor Mayor Entre 80-89 Años,36
Huila,Suaza,41770,Mayor Adulto Entre 70-79 Años,6
Magdalena,Pedraza,47541,Mayor Adulto Entre 70-79 Años,6
Valle Del Cauca,Guadalajara De Buga,76111,Mayor Adulto Entre 70-79 Años,31
Antioquia,Carepa,05147,Centenario,1
Antioquia,Nechí,05495,Mayor Joven Entre 60-69 Años,111
Valle Del Cauca,Vijes,76869,Mayor Adulto Entre 70-79 Años,4
Tolima,San Antonio,73675,Mayor Adulto Entre 70-79 Años,33
Norte Santander,Cachirá,54128,Mayor Joven Entre 60-69 Años,21
Caldas,Marmato,17442,Adulto,1
Tolima,Suárez,73770,Mayor Joven Entre 60-69 Años,1
Cesar,La Jagua De Ibirico,20400,Mayor Joven Entre 60-69 Años,133
Caldas,San José,17665,NoReporta,2
Nariño,Albán,52019,Adulto,129
Magdalena,Pivijay,47551,Nonagenario,19
Caldas,Aguadas,17013,Adulto,24
Nariño,Policarpa,52540,Nonagenario,2
Nariño,Buesaco,52110,Mayor Mayor Entre 80-89 Años,10
Cundinamarca,Jerusalén,25368,Mayor Joven Entre 60-69 Años,1
Santander,Hato,68344,Adulto,3
Bolívar,El Carmen De Bolívar,13244,Mayor Adulto Entre 70-79 Años,532
Norte Santander,Tibú,54810,Centenario,9
Caquetá,Curillo,18205,Mayor Mayor Entre 80-89 Años,10
Cundinamarca,Uutica,25851,Adulto,1
Putumayo,San Miguel,86757,Mayor Mayor Entre 80-89 Años,30
Santander,El Peñón,68250,Mayor Joven Entre 60-69 Años,8
Antioquia,San Francisco,05652,Mayor Adulto Entre 70-79 Años,58
Antioquia,Yondó,05893,NoReporta,5
Antioquia,Necoclí,05490,Adulto Joven,2
Santander,El Carmen De Chucurí,68235,NoReporta,6
Antioquia,Concordia,05209,Adulto,16
Antioquia,Nariño,05483,Infancia,1
Cauca,Popayán,19001,NoReporta,1
Santander,Zapatoca,68895,NoReporta,1
Santander,Bucaramanga,68001,Mayor Joven Entre 60-69 Años,20
Cauca,Patía,19532,Nonagenario,3
Antioquia,Anorí,05040,Centenario,0
Santander,Lebríja,68406,Mayor Adulto Entre 70-79 Años,33
Antioquia,Anorí,05040,Nonagenario,1
Santander,Bolívar,68101,Mayor Mayor Entre 80-89 Años,9
Córdoba,Ure,23682,Nonagenario,6
Huila,Oporapa,41503,Mayor Joven Entre 60-69 Años,2
Caquetá,Milán,18460,Nonagenario,2
Atlántico,Campo De La Cruz,08137,Adulto,1
Arauca,Arauquita,81065,Nonagenario,1
Bolívar,Turbaná,13838,Mayor Mayor Entre 80-89 Años,5
Chocó,San José Del Palmar,27660,Mayor Adulto Entre 70-79 Años,37
Cesar,San Martín,20770,Mayor Mayor Entre 80-89 Años,11
Boyacá,Mongua,15464,Mayor Mayor Entre 80-89 Años,2
Guainía,Barranco Minas,94343,Mayor Mayor Entre 80-89 Años,1
Antioquia,Zaragoza,05895,Mayor Adulto Entre 70-79 Años,39
Antioquia,Tarazá,05790,Mayor Joven Entre 60-69 Años,106
Antioquia,Bello,05088,Mayor Adulto Entre 70-79 Años,34
Tolima,Planadas,73555,Mayor Adulto Entre 70-79 Años,59
Sucre,San Onofre,70713,NoReporta,6
Antioquia,Peñol,05541,Adulto Joven,1
Córdoba,Tierralta,23807,Adulto Joven,9
Vichada,La Primavera,99524,NoReporta,2
Sucre,Corozal,70215,Nonagenario,12
Cauca,Corinto,19212,NoReporta,4
Putumayo,Puerto Asís,86568,Adulto Joven,13
Valle Del Cauca,Ansermanuevo,76041,Centenario,1
Nariño,El Rosario,52256,Mayor Mayor Entre 80-89 Años,17
Guainía,Puerto Colombia,94884,Adulto,1
Arauca,Tame,81794,Centenario,1
Antioquia,San Roque,05670,Mayor Joven Entre 60-69 Años,61
Nariño,Tumaco,52835,Infancia,3
Meta,Puerto Lleras,50577,Adulto Joven,3
Meta,Cubarral,50223,Nonagenario,1
Tolima,Ambalema,73030,Mayor Mayor Entre 80-89 Años,6
Antioquia,Yalí,05885,Nonagenario,3
Atlántico,Malambo,08433,Adulto,5
La Guajira,Manaure,44560,Adulto,1
Antioquia,Caucasia,05154,Mayor Mayor Entre 80-89 Años,32
Nariño,Tumaco,52835,Adulto Joven,39
Norte Santander,Pamplona,54518,Adulto,1
Nariño,Linares,52411,Mayor Mayor Entre 80-89 Años,3
La Guajira,San Juan Del Cesar,44650,Mayor Mayor Entre 80-89 Años,10
Caquetá,Cartagena Del Chairá,18150,NoReporta,2
Huila,Santa María,41676,Nonagenario,1
Risaralda,Quinchía,66594,NoReporta,2
Magdalena,Pivijay,47551,NoReporta,7
Magdalena,Algarrobo,47030,Nonagenario,3
Santander,Bucaramanga,68001,NoReporta,2
Santander,Sucre,68773,Adulto,19
Tolima,Rioblanco,73616,Nonagenario,21
Risaralda,Santuario,66687,Nonagenario,1
Norte Santander,Tibú,54810,Mayor Adulto Entre 70-79 Años,287
Córdoba,Cotorra,23300,NoReporta,0
Cundinamarca,Yacopí,25885,Nonagenario,22
Huila,Palermo,41524,Mayor Joven Entre 60-69 Años,13
Valle Del Cauca,Bolívar,76100,Mayor Joven Entre 60-69 Años,121
Arauca,Saravena,81736,Adulto Joven,1
Nariño,El Tablón De Gómez,52258,Adulto,694
Tolima,San Luis,73678,Adulto,29
Sucre,Caimito,70124,Adulto,2
Atlántico,Suan,08770,Adulto,2
Bolívar,Cantagallo,13160,Mayor Mayor Entre 80-89 Años,8
Antioquia,MEDELLÍN,05001,Adulto,498
Antioquia,Yarumal,05887,Mayor Adulto Entre 70-79 Años,12
La Guajira,Urumita,44855,Adulto,5
Antioquia,Puerto Nare,05585,NoReporta,2
Bolívar,El Carmen De Bolívar,13244,Adulto,879
Nariño,El Tablón De Gómez,52258,Infancia,1
Antioquia,Briceño,05107,Mayor Adulto Entre 70-79 Años,24
Chocó,Río Iro,27580,Adulto,48
Magdalena,El Piñon,47258,Adulto,43
Magdalena,Aracataca,47053,Mayor Adulto Entre 70-79 Años,137
Cesar,Becerril,20045,Mayor Joven Entre 60-69 Años,144
Valle Del Cauca,Dagua,76233,Mayor Adulto Entre 70-79 Años,64
Magdalena,El Retén,47268,Mayor Mayor Entre 80-89 Años,3
Huila,Gigante,41306,Adulto,24
Antioquia,Yarumal,05887,Mayor Mayor Entre 80-89 Años,5
Risaralda,Santuario,66687,Mayor Mayor Entre 80-89 Años,6
Cesar,Aguachica,20011,Mayor Joven Entre 60-69 Años,63
Caldas,La Dorada,17380,NoReporta,2
Tolima,Ambalema,73030,Centenario,2
Antioquia,Ciudad Bolívar,05101,Adulto Joven,5
Cauca,Mercaderes,19450,Adolescencia,1
Cauca,El Tambo,19256,Mayor Adulto Entre 70-79 Años,133
Guaviare,Calamar,95015,NoReporta,2
Boyacá,Paya,15533,Nonagenario,2
Antioquia,Alejandría,05021,Mayor Mayor Entre 80-89 Años,5
Antioquia,Don Matías,05237,Mayor Joven Entre 60-69 Años,3
Sucre,Sincé,70742,Nonagenario,1
Boyacá,Berbeo,15090,Adulto,1
Tolima,Rioblanco,73616,NoReporta,1
Santander,Barbosa,68077,Mayor Joven Entre 60-69 Años,2
Putumayo,San Miguel,86757,Mayor Joven Entre 60-69 Años,212
Nariño,Albán,52019,Mayor Mayor Entre 80-89 Años,5
Tolima,Chaparral,73168,Mayor Joven Entre 60-69 Años,172
Antioquia,Argelia,05055,Adulto,171
Boyacá,El Espino,15248,Mayor Joven Entre 60-69 Años,3
Boyacá,Chita,15183,Adulto,12
Antioquia,San Pedro de Urabá,05665,Primera Infancia,3
Valle Del Cauca,Alcalá,76020,Mayor Adulto Entre 70-79 Años,1
Córdoba,San Bernardo Del Viento,23675,Adulto,8
Tolima,Anzoátegui,73043,Nonagenario,7
Caquetá,El Paujil,18256,Mayor Joven Entre 60-69 Años,30
Huila,Acevedo,41006,NoReporta,5
Nariño,Pasto,52001,Adulto,171
Santander,Cerrito,68162,Adulto,8
Norte Santander,Abrego,54003,Nonagenario,2
Antioquia,Barbosa,05079,Mayor Joven Entre 60-69 Años,21
Sucre,Sucre,70771,Adulto,14
Sucre,Tolú Viejo,70823,Mayor Mayor Entre 80-89 Años,32
Antioquia,Andes,05034,Adulto,10
Antioquia,Gómez Plata,05310,Mayor Joven Entre 60-69 Años,4
Cauca,Timbiquí,19809,Adulto,50
Córdoba,Montelíbano,23466,Mayor Joven Entre 60-69 Años,85
Nariño,Ricaurte,52612,Adulto Joven,2
Santander,Puerto Parra,68573,Mayor Mayor Entre 80-89 Años,23
Quindío,Montenegro,63470,Adulto,3
Cesar,El Copey,20238,Mayor Mayor Entre 80-89 Años,114
Sucre,El Roble,70233,Adulto Joven,1
Caquetá,Solano,18756,NoReporta,2
Sucre,Guaranda,70265,NoReporta,1
Caldas,Manizales,17001,Mayor Mayor Entre 80-89 Años,1
Santander,Sabana De Torres,68655,Adulto Joven,1
Bolívar,Barranco De Loba,13074,Mayor Joven Entre 60-69 Años,16
Tolima,Alpujarra,73024,Adulto,14
Chocó,El Carmen De Atrato,27245,NoReporta,4
Caquetá,Cartagena Del Chairá,18150,Adulto,490
Boyacá,Chiquinquirá,15176,Adulto,1
Antioquia,Copacabana,05212,Mayor Adulto Entre 70-79 Años,5
Valle Del Cauca,Dagua,76233,Mayor Mayor Entre 80-89 Años,39
Vaupés,Pacoa,97511,Adulto,3
Meta,Castilla La Nueva,50150,NoReporta,1
Bolívar,Achí,13006,Mayor Adulto Entre 70-79 Años,22
Cauca,Argelia,19050,Mayor Mayor Entre 80-89 Años,5
Antioquia,Concepción,05206,Mayor Mayor Entre 80-89 Años,13
Nariño,Nariño,52480,Adulto,1
Norte Santander,El Carmen,54245,NoReporta,1
Meta,Puerto Gaitán,50568,Adulto,219
Antioquia,El Carmen De Viboral,05148,Adulto Joven,2
Huila,Agrado,41013,Adulto,1
Valle Del Cauca,Palmira,76520,Mayor Adulto Entre 70-79 Años,8
Guaviare,Miraflores,95200,Adulto Joven,3
Huila,Acevedo,41006,Mayor Joven Entre 60-69 Años,29
Sucre,San Marcos,70708,NoReporta,1
Caldas,Viterbo,17877,Centenario,1
La Guajira,Dibulla,44090,NoReporta,2
Boyacá,Aquitania,15047,Mayor Joven Entre 60-69 Años,13
Caquetá,Curillo,18205,Adulto,110
Risaralda,Pueblo Rico,66572,Infancia,1
Norte Santander,Bucarasica,54109,NoReporta,1
Bolívar,Simití,13744,Adulto Joven,1
Santander,Cimitarra,68190,Mayor Joven Entre 60-69 Años,85
Cauca,Caloto,19142,Mayor Joven Entre 60-69 Años,13
Magdalena,Remolino,47605,Mayor Joven Entre 60-69 Años,148
Nariño,La Unión,52399,Mayor Adulto Entre 70-79 Años,31
Cundinamarca,Quipile,25596,Nonagenario,2
Norte Santander,San Calixto,54670,Nonagenario,2
Boyacá,Socotá,15755,Mayor Joven Entre 60-69 Años,17
Cundinamarca,Sasaima,25718,Adulto,9
Caquetá,Puerto Rico,18592,Adulto Joven,3
Cauca,Buenos Aires,19110,Mayor Joven Entre 60-69 Años,46
Boyacá,San Eduardo,15660,Adulto,1
Valle Del Cauca,Tuluá,76834,Adulto Joven,2
Sucre,San Pedro,70717,Adulto,14
Antioquia,Titiribí,05809,Adulto,2
Amazonas,La Victoria,91430,Adulto,2
Atlántico,Juan De Acosta,08372,Mayor Joven Entre 60-69 Años,1
Santander,El Playón,68255,Nonagenario,4
Huila,Garzón,41298,Adulto,45
Cauca,Puracé,19585,NoReporta,1
Bolívar,Turbaná,13838,Nonagenario,2
Magdalena,Pijiño Del Carmen,47545,Centenario,1
Nariño,Samaniego,52678,Nonagenario,1
Santander,Suratá,68780,NoReporta,4
Nariño,Cumbitara,52233,Mayor Joven Entre 60-69 Años,38
Nariño,Pasto,52001,Mayor Joven Entre 60-69 Años,96
Magdalena,Pijiño Del Carmen,47545,Mayor Adulto Entre 70-79 Años,6
Bolívar,Cartagena,13001,Adulto,35
Sucre,San Pedro,70717,Mayor Mayor Entre 80-89 Años,18
Putumayo,Orito,86320,Mayor Mayor Entre 80-89 Años,52
Nariño,El Tambo,52260,NoReporta,1
Atlántico,Repelón,08606,Mayor Joven Entre 60-69 Años,12
Valle Del Cauca,La Cumbre,76377,Adulto,15
Córdoba,Buenavista,23079,Adulto,13
Antioquia,Puerto Berrío,05579,NoReporta,1
Huila,Algeciras,41020,Mayor Adulto Entre 70-79 Años,48
Casanare,Trinidad,85430,Mayor Mayor Entre 80-89 Años,9
Cundinamarca,La Palma,25394,Mayor Mayor Entre 80-89 Años,77
Antioquia,Retiro,05607,Mayor Joven Entre 60-69 Años,2
Caquetá,Puerto Rico,18592,Nonagenario,4
Norte Santander,San Calixto,54670,Mayor Adulto Entre 70-79 Años,21
Antioquia,Caldas,05129,Mayor Mayor Entre 80-89 Años,1
Putumayo,Puerto Caicedo,86569,NoReporta,0
Magdalena,Cerro San Antonio,47161,Mayor Mayor Entre 80-89 Años,6
Norte Santander,Santiago,54680,NoReporta,1
Santander,Landázuri,68385,Mayor Joven Entre 60-69 Años,36
Magdalena,Remolino,47605,Adulto Joven,2
Antioquia,San Jerónimo,05656,Mayor Mayor Entre 80-89 Años,5
Antioquia,San Carlos,05649,Adulto,555
Bolívar,Cantagallo,13160,Adulto,57
Valle Del Cauca,Alcalá,76020,Mayor Joven Entre 60-69 Años,4
Caquetá,Solita,18785,Mayor Joven Entre 60-69 Años,43
Tolima,San Luis,73678,Mayor Mayor Entre 80-89 Años,7
Huila,Algeciras,41020,Adulto Joven,1
Cauca,Santander De Quilichao,19698,Mayor Joven Entre 60-69 Años,62
Cundinamarca,Albán,25019,Adulto,4
Magdalena,Puebloviejo,47570,Nonagenario,3
Guaviare,Miraflores,95200,Nonagenario,5
Norte Santander,El Zulia,54261,Mayor Adulto Entre 70-79 Años,71
Sucre,Coloso,70204,Nonagenario,11
Córdoba,Buenavista,23079,Mayor Adulto Entre 70-79 Años,4
Santander,Zapatoca,68895,Adulto,14
Bolívar,Zambrano,13894,NoReporta,3
Antioquia,Turbo,05837,Mayor Mayor Entre 80-89 Años,289
Huila,Santa María,41676,Mayor Joven Entre 60-69 Años,11
Valle Del Cauca,Sevilla,76736,NoReporta,3
Guainía,Barranco Minas,94343,Mayor Adulto Entre 70-79 Años,4
Tolima,Valle De San Juan,73854,Adulto,62
Santander,Sucre,68773,Mayor Adulto Entre 70-79 Años,8
Antioquia,La Unión,05400,Nonagenario,3
Santander,Suratá,68780,Nonagenario,1
Córdoba,San Andrés Sotavento,23670,NoReporta,0
Bolívar,El Carmen De Bolívar,13244,Infancia,1
Valle Del Cauca,San Pedro,76670,NoReporta,5
Cesar,El Paso,20250,Mayor Mayor Entre 80-89 Años,16
Meta,La Macarena,50350,Mayor Joven Entre 60-69 Años,157
Antioquia,Sabanalarga,05628,Mayor Joven Entre 60-69 Años,10
Valle Del Cauca,Calima,76126,Nonagenario,2
Valle Del Cauca,Pradera,76563,Mayor Joven Entre 60-69 Años,34
Casanare,Trinidad,85430,Mayor Adulto Entre 70-79 Años,8
Boyacá,Miraflores,15455,Mayor Adulto Entre 70-79 Años,1
Atlántico,Malambo,08433,Mayor Joven Entre 60-69 Años,2
Cundinamarca,Carmen De Carupa,25154,Mayor Joven Entre 60-69 Años,1
Cesar,La Paz,20621,Mayor Joven Entre 60-69 Años,55
Cundinamarca,Anapoima,25035,Adulto,1
Caquetá,Cartagena Del Chairá,18150,Mayor Mayor Entre 80-89 Años,59
Norte Santander,Abrego,54003,Mayor Mayor Entre 80-89 Años,21
La Guajira,Villanueva,44874,Adulto,23
Santander,Puerto Parra,68573,Nonagenario,7
Caquetá,Curillo,18205,Nonagenario,4
Huila,Teruel,41801,Adulto,8
Antioquia,Vigía Del Fuerte,05873,Adulto,10
Casanare,Sabanalarga,85300,Mayor Mayor Entre 80-89 Años,1
Norte Santander,Durania,54239,Mayor Mayor Entre 80-89 Años,4
Sucre,Tolú Viejo,70823,Nonagenario,10
Magdalena,Chibolo,47170,Adulto,155
Cundinamarca,Pulí,25580,Mayor Joven Entre 60-69 Años,21
Nariño,Los Andes,52418,Adulto,258
Santander,Barrancabermeja,68081,Nonagenario,11
Santander,Carcasí,68152,Adulto,1
Tolima,Coyaima,73217,Mayor Joven Entre 60-69 Años,53
Santander,Sucre,68773,Nonagenario,2
Tolima,Anzoátegui,73043,Mayor Adulto Entre 70-79 Años,17
Cundinamarca,Soacha,25754,Adulto,35
Cundinamarca,Apulo,25599,Mayor Joven Entre 60-69 Años,6
Putumayo,Santiago,86760,Adulto Joven,1
Meta,San Martín,50689,Infancia,1
Córdoba,San Pelayo,23686,Mayor Adulto Entre 70-79 Años,2
Nariño,El Tablón De Gómez,52258,Mayor Mayor Entre 80-89 Años,52
Valle Del Cauca,San Pedro,76670,Adulto,17
Antioquia,Támesis,05789,NoReporta,0
Cauca,Cajibío,19130,Mayor Mayor Entre 80-89 Años,143
Cesar,San Alberto,20710,NoReporta,5
Cundinamarca,Fusagasugá,25290,Adulto,9
La Guajira,Riohacha,44001,Mayor Adulto Entre 70-79 Años,60
Antioquia,San Pedro,05664,Mayor Mayor Entre 80-89 Años,1
Cauca,Morales,19473,Adulto Joven,11
Valle Del Cauca,La Unión,76400,Adulto,3
Nariño,Santa Bárbara,52696,Adulto Joven,25
Cesar,San Diego,20750,Nonagenario,13
Santander,Los Santos,68418,Nonagenario,1
Nariño,Mallama,52435,Adulto,27
Córdoba,Montería,23001,Adulto Joven,3
Sucre,San Pedro,70717,NoReporta,4
Huila,Santa María,41676,Mayor Adulto Entre 70-79 Años,10
Tolima,Ambalema,73030,Mayor Joven Entre 60-69 Años,21
Sucre,Sincelejo,70001,Mayor Joven Entre 60-69 Años,25
Chocó,Río Iro,27580,Adolescencia,1
Boyacá,Pisba,15550,Adulto,3
Cesar,San Diego,20750,NoReporta,3
Magdalena,Plato,47555,NoReporta,3
Cauca,Argelia,19050,Adulto,271
Bolívar,El Carmen De Bolívar,13244,Mayor Joven Entre 60-69 Años,603
Huila,Oporapa,41503,Mayor Adulto Entre 70-79 Años,1
Córdoba,Chimá,23168,Mayor Joven Entre 60-69 Años,4
Antioquia,Tarazá,05790,Mayor Mayor Entre 80-89 Años,34
Boyacá,Otanche,15507,Mayor Joven Entre 60-69 Años,12
Antioquia,Bello,05088,Mayor Joven Entre 60-69 Años,46
Antioquia,San Rafael,05667,Mayor Joven Entre 60-69 Años,48
Bolívar,Simití,13744,Mayor Adulto Entre 70-79 Años,32
Antioquia,Sabanalarga,05628,Nonagenario,1
Santander,Capitanejo,68147,Adulto,3
Caldas,Riosucio,17614,NoReporta,1
Chocó,Río Quito,27600,Mayor Joven Entre 60-69 Años,4
Magdalena,Pivijay,47551,Mayor Mayor Entre 80-89 Años,84
Magdalena,Salamina,47675,Mayor Adulto Entre 70-79 Años,32
Tolima,Natagaima,73483,Nonagenario,4
Norte Santander,Arboledas,54051,Nonagenario,3
Valle Del Cauca,Roldanillo,76622,Adulto,21
Chocó,Bagadó,27073,Nonagenario,4
Caquetá,San José Del Fragua,18610,Mayor Adulto Entre 70-79 Años,38
Caldas,Risaralda,17616,Adulto,4
Chocó,Unguía,27800,Mayor Mayor Entre 80-89 Años,43
Valle Del Cauca,Yumbo,76892,Mayor Joven Entre 60-69 Años,4
Cundinamarca,San Cayetano,25653,NoReporta,2
Huila,Pitalito,41551,NoReporta,2
Arauca,Cravo Norte,81220,Mayor Joven Entre 60-69 Años,21
Huila,Tarqui,41791,Adulto,9
Valle Del Cauca,Vijes,76869,Mayor Mayor Entre 80-89 Años,1
Córdoba,Puerto Libertador,23580,Adulto,72
Caquetá,San José Del Fragua,18610,Adulto Joven,1
Caquetá,Belén De Los Andaquies,18094,Mayor Joven Entre 60-69 Años,46
Cundinamarca,Fusagasugá,25290,Nonagenario,0
Santander,Matanza,68444,NoReporta,1
Caldas,Victoria,17867,Centenario,1
Antioquia,San Juan De Urabá,05659,Mayor Mayor Entre 80-89 Años,4
Santander,Puerto Wilches,68575,Adulto Joven,2
Bogotá D.C.,Bogotá,11001,Centenario,16
Sucre,San Marcos,70708,Adolescencia,1
Chocó,Unguía,27800,Infancia,1
Norte Santander,Abrego,54003,Mayor Adulto Entre 70-79 Años,40
Caquetá,Albania,18029,Mayor Joven Entre 60-69 Años,7
Córdoba,Cereté,23162,Adulto,10
Cauca,Guapí,19318,NoReporta,2
Norte Santander,San Calixto,54670,Mayor Mayor Entre 80-89 Años,11
Cundinamarca,Funza,25286,Adulto,2
Chocó,Bagadó,27073,Adulto Joven,1
Tolima,Lérida,73408,NoReporta,1
Santander,Puerto Wilches,68575,Centenario,1
Vichada,Santa Rosalía,99624,NoReporta,0
Huila,San Agustín,41668,Adulto,42
Putumayo,Puerto Guzmán,86571,Nonagenario,11
Vaupés,Mitú,97001,Mayor Joven Entre 60-69 Años,11
